Customer ID,Month,offers
sirifvlkipkel21,13,"['J', 'C', 'B']"
sirifvlkipkel21,14,"['F', 'C', 'J']"
nfhyvxuubmklt23,7,"['C', 'J', 'A']"
dnnrchjlmrylq24,10,"['G', 'C', 'J']"
dnnrchjlmrylq24,11,"['I', 'F', 'C']"
dnnrchjlmrylq24,12,"['F', 'G', 'C']"
dnnrchjlmrylq24,13,"['B', 'F', 'H']"
pmjtlwcmmdtqy25,2,"['C', 'A', 'F']"
pmjtlwcmmdtqy25,3,"['B', 'I', 'F']"
pmjtlwcmmdtqy25,4,"['B', 'E', 'C']"
pmjtlwcmmdtqy25,5,"['C', 'B', 'I']"
pmjtlwcmmdtqy25,6,"['B', 'C', 'F']"
pmjtlwcmmdtqy25,7,"['D', 'E', 'I']"
pmjtlwcmmdtqy25,8,"['G', 'B', 'D']"
pmjtlwcmmdtqy25,10,"['F', 'B', 'G']"
pmjtlwcmmdtqy25,11,"['J', 'C', 'E']"
pmjtlwcmmdtqy25,12,"['A', 'G', 'D']"
pmjtlwcmmdtqy25,13,"['B', 'G', 'D']"
kzxgwhhdwzqop26,9,"['B', 'C', 'A']"
kzxgwhhdwzqop26,10,"['F', 'I', 'G']"
sxhdnqbwzktrq27,10,"['A', 'G', 'H']"
sxhdnqbwzktrq27,11,"['E', 'A', 'C']"
